date,timestamp,values,keyword,scraped_at
Jan 2010,1262304000,"[{'query': 'bbc food', 'value': '82', 'extracted_value': 82}]",bbc food,2025-10-07T23:34:44.063552
Feb 2010,1264982400,"[{'query': 'bbc food', 'value': '81', 'extracted_value': 81}]",bbc food,2025-10-07T23:34:44.063552
Mar 2010,1267401600,"[{'query': 'bbc food', 'value': '74', 'extracted_value': 74}]",bbc food,2025-10-07T23:34:44.063552
Apr 2010,1270080000,"[{'query': 'bbc food', 'value': '67', 'extracted_value': 67}]",bbc food,2025-10-07T23:34:44.063552
May 2010,1272672000,"[{'query': 'bbc food', 'value': '63', 'extracted_value': 63}]",bbc food,2025-10-07T23:34:44.063552
Jun 2010,1275350400,"[{'query': 'bbc food', 'value': '63', 'extracted_value': 63}]",bbc food,2025-10-07T23:34:44.063552
Jul 2010,1277942400,"[{'query': 'bbc food', 'value': '62', 'extracted_value': 62}]",bbc food,2025-10-07T23:34:44.063552
Aug 2010,1280620800,"[{'query': 'bbc food', 'value': '72', 'extracted_value': 72}]",bbc food,2025-10-07T23:34:44.063552
Sep 2010,1283299200,"[{'query': 'bbc food', 'value': '71', 'extracted_value': 71}]",bbc food,2025-10-07T23:34:44.063552
Oct 2010,1285891200,"[{'query': 'bbc food', 'value': '81', 'extracted_value': 81}]",bbc food,2025-10-07T23:34:44.063552
Nov 2010,1288569600,"[{'query': 'bbc food', 'value': '79', 'extracted_value': 79}]",bbc food,2025-10-07T23:34:44.063552
Dec 2010,1291161600,"[{'query': 'bbc food', 'value': '91', 'extracted_value': 91}]",bbc food,2025-10-07T23:34:44.063552
Jan 2011,1293840000,"[{'query': 'bbc food', 'value': '81', 'extracted_value': 81}]",bbc food,2025-10-07T23:34:44.063552
Feb 2011,1296518400,"[{'query': 'bbc food', 'value': '83', 'extracted_value': 83}]",bbc food,2025-10-07T23:34:44.063552
Mar 2011,1298937600,"[{'query': 'bbc food', 'value': '78', 'extracted_value': 78}]",bbc food,2025-10-07T23:34:44.063552
