date,timestamp,values,keyword,scraped_at
Jan 2010,1262304000,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Feb 2010,1264982400,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Mar 2010,1267401600,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Apr 2010,1270080000,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
May 2010,1272672000,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Jun 2010,1275350400,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Jul 2010,1277942400,"[{'query': 'good food institute', 'value': '24', 'extracted_value': 24}]",good food institute,2025-10-07T23:28:54.959008
Aug 2010,1280620800,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Sep 2010,1283299200,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Oct 2010,1285891200,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Nov 2010,1288569600,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Dec 2010,1291161600,"[{'query': 'good food institute', 'value': '29', 'extracted_value': 29}]",good food institute,2025-10-07T23:28:54.959008
Jan 2011,1293840000,"[{'query': 'good food institute', 'value': '29', 'extracted_value': 29}]",good food institute,2025-10-07T23:28:54.959008
Feb 2011,1296518400,"[{'query': 'good food institute', 'value': '21', 'extracted_value': 21}]",good food institute,2025-10-07T23:28:54.959008
Mar 2011,1298937600,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Apr 2011,1301616000,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
May 2011,1304208000,"[{'query': 'good food institute', 'value': '21', 'extracted_value': 21}]",good food institute,2025-10-07T23:28:54.959008
Jun 2011,1306886400,"[{'query': 'good food institute', 'value': '20', 'extracted_value': 20}]",good food institute,2025-10-07T23:28:54.959008
Jul 2011,1309478400,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Aug 2011,1312156800,"[{'query': 'good food institute', 'value': '33', 'extracted_value': 33}]",good food institute,2025-10-07T23:28:54.959008
Sep 2011,1314835200,"[{'query': 'good food institute', 'value': '21', 'extracted_value': 21}]",good food institute,2025-10-07T23:28:54.959008
Oct 2011,1317427200,"[{'query': 'good food institute', 'value': '0', 'extracted_value': 0}]",good food institute,2025-10-07T23:28:54.959008
Nov 2011,1320105600,"[{'query': 'good food institute', 'value': '37', 'extracted_value': 37}]",good food institute,2025-10-07T23:28:54.959008
Dec 2011,1322697600,"[{'query': 'good food institute', 'value': '19', 'extracted_value': 19}]",good food institute,2025-10-07T23:28:54.959008
Jan 2012,1325376000,"[{'query': 'good food institute', 'value': '16', 'extracted_value': 16}]",good food institute,2025-10-07T23:28:54.959008
Feb 2012,1328054400,"[{'query': 'good food institute', 'value': '21', 'extracted_value': 21}]",good food institute,2025-10-07T23:28:54.959008
Mar 2012,1330560000,"[{'query': 'good food institute', 'value': '26', 'extracted_value': 26}]",good food institute,2025-10-07T23:28:54.959008
Apr 2012,1333238400,"[{'query': 'good food institute', 'value': '20', 'extracted_value': 20}]",good food institute,2025-10-07T23:28:54.959008
May 2012,1335830400,"[{'query': 'good food institute', 'value': '18', 'extracted_value': 18}]",good food institute,2025-10-07T23:28:54.959008
Jun 2012,1338508800,"[{'query': 'good food institute', 'value': '35', 'extracted_value': 35}]",good food institute,2025-10-07T23:28:54.959008
Jul 2012,1341100800,"[{'query': 'good food institute', 'value': '18', 'extracted_value': 18}]",good food institute,2025-10-07T23:28:54.959008
Aug 2012,1343779200,"[{'query': 'good food institute', 'value': '18', 'extracted_value': 18}]",good food institute,2025-10-07T23:28:54.959008
