,place name,category,city,link
0,Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d302479-Reviews-Movenpick_Hotel_Mansour_Eddahbi_Marrakech-Marrakech_Marrakech_Safi.html?
1,La Maison Arabe,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d303075-Reviews-La_Maison_Arabe-Marrakech_Marrakech_Safi.html?
2,Four Seasons Resort Marrakech,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d2052505-Reviews-Four_Seasons_Resort_Marrakech-Marrakech_Marrakech_Safi.html?
3,Riad Kheirredine,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d1873436-Reviews-Riad_Kheirredine-Marrakech_Marrakech_Safi.html?
4,La Mamounia Marrakech,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d301256-Reviews-La_Mamounia_Marrakech-Marrakech_Marrakech_Safi.html?
5,Sofitel Marrakech Palais Impérial & Spa,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d299685-Reviews-Sofitel_Marrakech_Palais_Imperial_Spa-Marrakech_Marrakech_Safi.html?
6,Sol Oasis Marrakech,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g6000504-d19656581-Reviews-Sol_Oasis_Marrakech-Ouahat_Sidi_Brahim_Marrakech_Safi.html?
7,La Sultana Marrakech,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d481491-Reviews-La_Sultana_Marrakech-Marrakech_Marrakech_Safi.html?
8,Pickalbatros Aqua Fun Club,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d2177899-Reviews-Pickalbatros_Aqua_Fun_Club-Marrakech_Marrakech_Safi.html?
9,Riad Dar Anika,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d609383-Reviews-Riad_Dar_Anika-Marrakech_Marrakech_Safi.html?
10,The Oberoi Marrakech,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d19141477-Reviews-The_Oberoi_Marrakech-Marrakech_Marrakech_Safi.html?
11,Riad le Clos des Arts,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d637779-Reviews-Riad_le_Clos_des_Arts-Marrakech_Marrakech_Safi.html?
12,Dar Ayniwen Hotel,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d518583-Reviews-Dar_Ayniwen_Hotel-Marrakech_Marrakech_Safi.html?
13,Riad Ben Tachfine,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d631257-Reviews-Riad_Ben_Tachfine-Marrakech_Marrakech_Safi.html?
