place name,category,city,link
Hotel Timoulay & Spa Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d623548-Reviews-Hotel_Timoulay_Spa_Agadir-Agadir_Souss_Massa.html?
Allegro Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d305567-Reviews-Allegro_Agadir-Agadir_Souss_Massa.html?
Hotel Riu Palace Tikida Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d2649171-Reviews-Hotel_Riu_Palace_Tikida_Agadir-Agadir_Souss_Massa.html?
Hotel Argana,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d557096-Reviews-Hotel_Argana-Agadir_Souss_Massa.html?
Hotel Agadir Beach Club,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d556947-Reviews-Hotel_Agadir_Beach_Club-Agadir_Souss_Massa.html?
Iberostar Waves Founty Beach,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d549638-Reviews-Iberostar_Waves_Founty_Beach-Agadir_Souss_Massa.html?
Hotel Riu Tikida Dunas,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d600207-Reviews-Hotel_Riu_Tikida_Dunas-Agadir_Souss_Massa.html?
Sofitel Agadir Royalbay Resort,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d301628-Reviews-Sofitel_Agadir_Royalbay_Resort-Agadir_Souss_Massa.html?
Pickalbatros White Beach Taghazout,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g1452345-d21377950-Reviews-Pickalbatros_White_Beach_Taghazout-Tamraght_Agadir_Souss_Massa.html?
Sofitel Agadir Thalassa Sea & Spa,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d2573287-Reviews-Sofitel_Agadir_Thalassa_Sea_Spa-Agadir_Souss_Massa.html?
Plage d'Agadir,Hotel,Agadir,https://www.tripadvisor.com/Attraction_Review-g293731-d481060-Reviews-Plage_d_Agadir-Agadir_Souss_Massa.html
Hotel Club Al Moggar Garden Beach,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d543253-Reviews-Hotel_Club_Al_Moggar_Garden_Beach-Agadir_Souss_Massa.html?
Hotel Riu Palace Tikida Taghazout,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g1554848-d15238678-Reviews-Hotel_Riu_Palace_Tikida_Taghazout-Taghazout_Souss_Massa.html?
Royal Mirage Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d301836-Reviews-Royal_Mirage_Agadir-Agadir_Souss_Massa.html?
Tildi Hotel & SPA,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d1474518-Reviews-Tildi_Hotel_SPA-Agadir_Souss_Massa.html?
Amadil Ocean Club,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d316609-Reviews-Amadil_Ocean_Club-Agadir_Souss_Massa.html?
Hotel Riu Tikida Beach,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d576215-Reviews-Hotel_Riu_Tikida_Beach-Agadir_Souss_Massa.html?
Dunes D'or Ocean Club,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d950995-Reviews-Dunes_D_or_Ocean_Club-Agadir_Souss_Massa.html?
Pure Passion Restaurant,Hotel,Agadir,https://www.tripadvisor.com/Restaurant_Review-g293731-d6697377-Reviews-Pure_Passion_Restaurant-Agadir_Souss_Massa.html
Tafoukt Beach Hotel,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d594772-Reviews-Tafoukt_Beach_Hotel-Agadir_Souss_Massa.html?
ROBINSON Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d1015425-Reviews-ROBINSON_Agadir-Agadir_Souss_Massa.html?
