place name,rating,reviews,category,city,link
Movenpick Hotel Mansour Eddahbi Marrakech,4.6,5149,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d302479-Reviews-Movenpick_Hotel_Mansour_Eddahbi_Marrakech-Marrakech_Marrakech_Safi.html?
La Maison Arabe,4.9,3503,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d303075-Reviews-La_Maison_Arabe-Marrakech_Marrakech_Safi.html?
Four Seasons Resort Marrakech,4.7,2321,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d2052505-Reviews-Four_Seasons_Resort_Marrakech-Marrakech_Marrakech_Safi.html?
Riad Kheirredine,5.0,3670,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d1873436-Reviews-Riad_Kheirredine-Marrakech_Marrakech_Safi.html?
La Mamounia Marrakech,4.3,4164,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d301256-Reviews-La_Mamounia_Marrakech-Marrakech_Marrakech_Safi.html?
Sofitel Marrakech Palais Impérial & Spa,4.4,9543,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d299685-Reviews-Sofitel_Marrakech_Palais_Imperial_Spa-Marrakech_Marrakech_Safi.html?
Sol Oasis Marrakech,4.8,4203,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g6000504-d19656581-Reviews-Sol_Oasis_Marrakech-Ouahat_Sidi_Brahim_Marrakech_Safi.html?
La Sultana Marrakech,4.9,1979,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d481491-Reviews-La_Sultana_Marrakech-Marrakech_Marrakech_Safi.html?
Pickalbatros Aqua Fun Club,4.3,6966,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d2177899-Reviews-Pickalbatros_Aqua_Fun_Club-Marrakech_Marrakech_Safi.html?
Riad Dar Anika,4.9,2252,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d609383-Reviews-Riad_Dar_Anika-Marrakech_Marrakech_Safi.html?
The Oberoi Marrakech,5.0,1012,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d19141477-Reviews-The_Oberoi_Marrakech-Marrakech_Marrakech_Safi.html?
Riad le Clos des Arts,5.0,2018,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d637779-Reviews-Riad_le_Clos_des_Arts-Marrakech_Marrakech_Safi.html?
Dar Ayniwen Hotel,4.9,1166,Hotel,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d518583-Reviews-Dar_Ayniwen_Hotel-Marrakech_Marrakech_Safi.html?
