Date,tangier morocco
2010-01,44
2010-02,42
2010-03,53
2010-04,49
2010-05,48
2010-06,41
2010-07,50
2010-08,35
2010-09,42
2010-10,38
2010-11,31
2010-12,31
2011-01,39
2011-02,44
2011-03,36
2011-04,40
2011-05,38
2011-06,40
2011-07,43
2011-08,39
2011-09,36
2011-10,37
2011-11,34
2011-12,32
2012-01,35
2012-02,34
2012-03,41
2012-04,50
2012-05,47
2012-06,46
2012-07,52
2012-08,47
2012-09,37
2012-10,41
2012-11,36
2012-12,36
2013-01,45
2013-02,39
2013-03,54
2013-04,46
2013-05,73
2013-06,51
2013-07,56
2013-08,56
2013-09,51
2013-10,43
2013-11,44
2013-12,43
2014-01,45
2014-02,49
2014-03,53
2014-04,57
2014-05,60
2014-06,47
2014-07,56
2014-08,52
2014-09,49
2014-10,38
2014-11,40
2014-12,39
2015-01,47
2015-02,50
2015-03,50
2015-04,47
2015-05,47
2015-06,47
2015-07,53
2015-08,52
2015-09,47
2015-10,55
2015-11,55
2015-12,44
2016-01,57
2016-02,58
2016-03,57
2016-04,55
2016-05,52
2016-06,52
2016-07,60
2016-08,48
2016-09,53
2016-10,52
2016-11,49
2016-12,51
2017-01,52
2017-02,56
2017-03,59
2017-04,66
2017-05,58
2017-06,57
2017-07,69
2017-08,62
2017-09,58
2017-10,58
2017-11,57
2017-12,53
2018-01,76
2018-02,74
2018-03,77
2018-04,75
2018-05,60
2018-06,74
2018-07,76
2018-08,74
2018-09,67
2018-10,65
2018-11,56
2018-12,57
2019-01,63
2019-02,60
2019-03,66
2019-04,69
2019-05,57
2019-06,71
2019-07,70
2019-08,69
2019-09,69
2019-10,61
2019-11,56
2019-12,55
2020-01,65
2020-02,62
2020-03,38
2020-04,29
2020-05,26
2020-06,28
2020-07,28
2020-08,27
2020-09,26
2020-10,22
2020-11,22
2020-12,25
2021-01,28
2021-02,25
2021-03,25
2021-04,22
2021-05,25
2021-06,33
2021-07,36
2021-08,32
2021-09,29
2021-10,37
2021-11,28
2021-12,24
2022-01,31
2022-02,40
2022-03,49
2022-04,54
2022-05,53
2022-06,56
2022-07,61
2022-08,58
2022-09,55
2022-10,57
2022-11,53
2022-12,59
2023-01,67
2023-02,70
2023-03,66
2023-04,70
2023-05,68
2023-06,68
2023-07,77
2023-08,72
2023-09,79
2023-10,60
2023-11,55
2023-12,61
2024-01,78
2024-02,74
2024-03,76
2024-04,80
2024-05,78
2024-06,76
2024-07,78
2024-08,77
2024-09,84
2024-10,87
2024-11,74
2024-12,72
2025-01,81
2025-02,86
2025-03,78
2025-04,94
2025-05,92
2025-06,100
